year,id,lnCI,Structure,Open,TI,PGDP2,PGDP,Fixed,FD,UR,pilot,rank,turnover,Carbon-peaking pressure,EI,CI_ratio,d1,d2
year	id	lnCI	education	major	tenure	age	hometown	Structure	Open	TI	PGDP2	PGDP	Fixed	FD	UR	pilot	rank	turnover	Carbon-peaking pressure	EI	CI_ratio	d1	d2

2005,7,12,1,9,6,72,8,10,0,34,0,1,0,0,,0,1,1
2006,7,12,1,9,6,72,8,10,0,36,0,1,0,0,1918,0,1,0
2007,7,12,1,9,6,72,8,10,0,38,0,1,0,0,2477,0,1,0
2008,7,12,1,12,6,71,8,10,0,40,0,1,1,0,2833,0,1,1
2009,7,12,1,9,6,71,8,10,0,39,0,1,0,0,2744,0,1,0
2010,7,12,1,10,6,71,8,10,0,40,0,1,0,0,2876,0,1,1
2011,7,12,1,10,6,72,8,10,0,41,0,1,1,0,2914,0,1,1
2012,7,12,1,7,7,71,8,10,0,43,0,1,0,0,2855,0,1,1
2013,7,12,1,7,7,70,8,10,0,44,0,1,0,0,2936,0,1,0
2014,7,12,1,8,7,70,8,10,0,45,0,1,1,0,3184,0,1,0
2015,7,12,0,7,8,70,8,10,0,48,0,1,0,0,2133,0,1,1
2016,7,12,0,6,8,70,8,10,0,50,0,1,1,0,3419,0,1,1
2017,7,12,0,7,8,70,8,10,0,52,0,1,0,0,9895,0,1,1
2018,7,12,0,7,9,69,8,10,0,53,0,1,1,0,11501,0,1,0
2019,7,12,0,8,9,68,8,10,0,54,0,1,1,0,13143,0,1,1
2000,8,11,0,2,6,74,9,9,0,25,0,1,0,0,,,0,1
2001,8,11,0,2,6,73,9,9,0,25,0,1,1,0,,0,0,0
2002,8,11,0,4,6,73,9,10,0,26,0,1,0,0,,0,0,0
2003,8,11,0,6,6,73,9,10,0,27,0,1,0,0,,0,0,1
2004,8,11,0,7,6,73,9,10,0,28,0,1,0,0,,0,0,0
2005,8,12,1,11,6,70,8,10,0,30,0,1,1,0,,0,1,1
2006,8,12,1,14,7,70,8,10,0,31,0,1,1,0,1409,0,1,1
2007,8,12,1,17,7,70,8,10,0,32,0,1,0,0,1383,0,1,0
2008,8,12,1,21,7,70,8,10,0,33,0,1,1,0,1590,0,1,0
2009,8,12,1,16,7,71,8,10,0,36,0,1,0,0,1784,0,1,1
2010,8,12,1,19,7,71,8,11,0,39,1,1,0,0,1470,0,1,1
2011,8,12,1,19,8,72,9,10,0,40,1,1,0,0,1865,0,1,1
2012,8,12,1,14,8,72,8,11,0,41,1,1,1,0,1943,0,1,0
2013,8,12,1,11,8,72,8,11,0,43,1,1,1,0,2076,0,1,0
2014,8,12,1,11,8,71,8,11,0,44,1,1,0,0,2296,0,1,0
2015,8,12,0,9,8,71,8,11,0,47,1,1,0,0,2461,0,1,1
2016,8,12,0,8,9,71,8,11,0,49,1,1,0,0,2784,0,1,0
2017,8,12,0,9,9,70,8,11,0,51,1,1,0,0,9584,0,1,0
2018,8,12,0,11,9,68,8,11,0,53,1,1,0,0,11898,0,1,1
2019,8,12,0,9,9,69,8,11,0,55,1,1,0,0,11320,0,1,0
2000,9,11,0,6,4,72,8,9,0,27,0,1,0,0,,,0,0
2001,9,11,0,6,4,72,8,9,0,29,0,1,0,0,,0,0,1
2002,9,11,0,6,4,72,8,9,0,31,0,1,0,0,,0,0,1
2003,9,11,0,6,4,72,9,9,0,32,0,1,1,0,,0,0,1
2004,9,11,0,8,4,74,9,9,0,34,0,1,0,0,,0,0,0
