year,citycode,lnCI,education,major,tenure,age,hometown,Structure,Open,TI,PGDP2,PGDP,Fixed,FD,UR,pilot,rank,turnover,pressure,EI,CI_ratio,d1,d2
2012,220800,11.894879,2,1,1,50,1,0.47280401,1.8166147,4.89784,69.83209169,8.3565598,8.7064667,0.16464414,46.17685,0,1,0,0,1515,0,1,1
2013,220800,11.880319,2,1,2,51,1,0.47372091,1.0803339,4.8903489,69.96656829,8.3646021,8.7451267,0.15777177,45.354774,0,1,0,0,1601,0,1,0
2014,220800,11.976097,2,1,3,52,1,0.53936201,1.1841947,5.0238805,68.77271452,8.2929316,8.8188829,0.17034429,44.132056,0,1,0,0,2354,0,1,0
2015,220800,11.939312,2,1,4,53,1,0.46621165,1.1437639,5.2781148,68.01766039,8.247282,8.880846,0.16711335,43.14184,0,1,1,0,4105,0,1,0
2016,220800,11.985081,2,1,1,57,1,0.44596303,1.305383,5.4722705,67.8469977,8.2369289,8.9372787,0.17438099,44.348183,0,1,0,0,5917,0,1,1
2017,220800,12.176867,2,1,2,58,1,0.36784199,1.0177329,5.817111,65.28188336,8.0797205,8.973752,0.18990102,44.219895,0,1,0,0,9449,0,1,0
2018,220800,12.23794,2,2,3,59,1,0.32942075,0.83588797,5.872118,64.72481825,8.0451736,8.6572552,0.19570945,44.021425,0,1,0,0,10382,0,1,1
2019,220800,12.468712,2,2,4,60,1,0.16355945,0.7557345,6.2878585,61.50455529,7.842484,7.7509146,0.18152554,43.800824,0,1,0,0,13374,0,1,0
2000,230100,10.209093,1,2,2,57,0,0.32768649,10.221962,6.9763479,81.65462552,9.0362949,9.9271021,0.19601245,46.9,0,0,0,0,,,0,0
2001,230100,10.166578,1,2,3,58,0,0.32448271,9.5936422,7.0509896,81.70132273,9.0388784,10.0271,0.19020696,46.8,0,0,0,0,,0,0,1
2002,230100,10.282768,2,2,1,55,1,0.31906906,11.820769,7.2861919,81.28015262,9.0155506,10.06523,0.18266284,47.4,0,0,1,0,,0,0,0
2003,230100,10.434082,2,2,2,56,1,0.33770928,11.628522,7.4366174,81.10304675,9.005723,10.126864,0.24657917,79.26355,0,0,1,0,,0,0,1
2004,230100,10.491044,1,1,1,51,1,0.34415707,10.827282,7.5606012,81.36773703,9.0204067,10.189873,0.24392736,76.817149,0,0,0,0,,0,0,1
2005,230100,10.631604,1,1,2,52,1,0.34318638,12.183469,7.7310534,80.94066667,8.9967031,10.240129,0.22786038,74.343452,0,0,0,0,,0,0,0
2006,230100,10.724611,1,1,3,53,1,0.35798743,10.525084,7.8559322,80.98152945,8.9989738,10.350502,0.2209301,72.421411,0,0,0,0,2602,0,0,0
2007,230100,10.739602,1,1,4,54,1,0.35941291,9.1574774,8.0163183,81.23854397,9.0132427,10.461335,0.21265371,70.609922,0,0,0,0,2615,0,0,1
2008,230100,10.729625,1,1,5,55,1,0.36535457,8.8504038,8.2297773,81.92998535,9.0515184,10.602641,0.2106919,68.768298,0,0,0,0,2528,0,0,0
2009,230100,10.838353,1,1,6,56,1,0.3615638,7.9408698,8.387085,81.86884651,9.0481405,10.824489,0.19763571,67.124775,0,0,1,0,2438,0,0,1
2010,230100,10.873876,2,2,1,58,0,0.37780496,7.90238,8.5338535,82.08341699,9.0599899,11.031041,0.20855653,61.130124,0,0,0,0,2525,0,0,0
2011,230100,10.714418,2,2,2,59,0,0.38828549,7.6002512,9.0902042,82.61024639,9.0890179,11.042365,0.2050585,60.590115,0,0,0,0,2814,0,0,0
2012,230100,10.78079,2,1,1,57,0,0.36017379,7.3678179,9.4611769,82.14814525,9.0635614,11.218166,0.20341732,64.374597,0,0,1,0,2824,0,0,0
2013,230100,10.990122,2,1,2,58,0,0.34760121,7.9515686,9.5530081,82.34219092,9.0742598,11.356568,0.20270404,63.723254,0,0,0,0,2900,0,0,0
2014,230100,11.017378,2,1,3,59,0,0.33408168,7.8010015,9.7872343,82.40868236,9.0779228,11.121825,0.20117249,63.420933,0,0,1,0,3430,0,0,0
2015,230100,11.341374,2,2,1,53,0,0.45821771,7.6312785,9.942708,76.79343763,8.7631865,11.149004,0.19589153,63.969456,0,1,0,0,5189,0,0,1
2016,230100,11.385724,2,2,2,54,0,0.43356445,6.3027949,9.8453817,76.97882769,8.7737579,11.179266,0.19412374,63.899744,0,1,0,0,5043,0,1,1
2017,230100,11.246094,2,2,1,55,1,0.38597712,4.6444554,9.7254963,77.35965925,8.795434,11.186317,0.1950388,64.499954,0,0,1,0,6080,0,0,1
2018,230100,11.090376,2,2,2,56,1,0.3371785,4.3596969,9.8134537,77.64188725,8.8114634,11.063756,0.18876772,65.300239,0,0,0,0,6446,0,0,1
2019,230100,10.942559,2,2,3,57,1,0.21977781,0.4966763,9.9616623,77.30199482,8.7921553,11.091155,0.19768637,65.899863,0,0,0,0,6894,0,0,0
2000,230200,10.511028,1,2,3,55,0,0.32836097,0.50063717,4.8751974,70.62786143,8.4040384,8.2711658,0.072723873,69.246198,0,0,0,0,,,0,1
2001,230200,10.48712,1,2,4,56,0,0.33615559,0.74121034,5.1474943,70.56752324,8.4004478,8.370595,0.075441688,68.159535,0,0,0,0,,0,0,0
2002,230200,10.610612,1,2,5,57,0,0.33027974,0.97970539,5.1817837,70.54861846,8.3993225,8.3608913,0.077175044,67.072872,0,0,0,0,,0,0,0
2003,230200,10.758754,2,1,1,54,1,0.35782722,1.2182409,5.2149358,71.16792831,8.4361086,8.4694672,0.15009388,65.986209,0,0,1,0,,0,0,1
2004,230200,10.854293,2,1,2,55,1,0.3697578,1.5888437,5.1590552,70.75163145,8.4113989,8.4795761,0.1537516,64.899546,0,1,0,0,,0,0,0
2005,230200,11.051361,2,1,3,56,1,0.27009779,1.8517309,5.3327188,69.41886791,8.3317986,8.5885992,0.18170549,62.017889,0,1,0,0,,0,0,1
2006,230200,11.137428,2,1,4,57,1,0.2946437,2.3421304,5.6383548,69.49465963,8.3363457,8.728157,0.18637612,56.886352,0,1,0,0,2707,0,0,0
2007,230200,11.12464,2,1,5,58,1,0.33450878,3.530921,5.9687076,70.0212065,8.3678675,8.8782511,0.19581909,53.928346,0,1,0,0,2630,0,0,0
2008,230200,11.128834,2,1,6,59,1,0.3476899,5.9708772,6.0473723,70.68867437,8.4076557,9.0148277,0.18535626,50.300142,0,1,0,0,2397,0,0,0
2009,230200,11.294423,2,1,7,60,1,0.36006361,6.7106557,6.1882639,69.61614322,8.3436289,9.4074812,0.12846582,46.911232,0,1,0,0,2847,0,0,0
2010,230200,11.28436,1,1,1,48,0,0.40626633,6.7148666,6.089045,70.8466398,8.4170446,9.6094294,0.12715437,44.091671,0,1,1,0,3129,0,0,0
2011,230200,11.113451,1,1,2,49,0,0.41142467,6.0833769,7.106606,71.87754545,8.4780626,9.5290356,0.12038673,43.719926,0,0,0,0,3191,0,0,1
2012,230200,11.145424,3,2,1,50,1,0.37351626,4.3854537,7.4271441,72.35379675,8.5061035,9.7204247,0.18824171,43.844735,0,0,1,0,3894,0,0,1
2013,230200,11.427227,3,2,2,51,1,0.36677384,4.0860147,7.2737865,71.81378252,8.4743013,9.6568451,0.077173784,41.481535,0,1,0,0,3708,0,1,0
2014,230200,11.525093,3,2,3,52,1,0.3375406,4.5863304,7.1989312,70.79647973,8.4140644,9.6642237,0.19528188,43.775834,0,1,0,0,3798,0,0,0
2015,230200,11.769664,3,2,4,53,1,0.4017005,3.7136414,7.3375878,66.41268613,8.1493979,9.6955242,0.20463672,43.716225,0,1,0,0,4118,0,1,1
2016,230200,11.818529,3,2,1,54,1,0.39379042,1.7334691,7.4436636,66.5842585,8.1599178,9.7383966,0.29363671,43.70234,0,1,1,0,4197,0,1,1
2017,230200,11.728985,3,2,2,55,1,0.36199641,0.9798938,7.5999022,66.05046797,8.1271439,9.74757,0.21363175,41.871161,0,1,0,0,7491,0,1,0
2018,230200,11.614165,3,2,3,56,1,0.33173415,2.5468552,7.5104303,65.3418147,8.0834284,9.7447386,0.21167012,43.464999,0,1,0,0,8385,0,1,1
2019,230200,11.408076,3,2,4,57,1,0.21809733,3.8467536,7.7119966,65.54609199,8.0960541,9.7781372,0.19735564,44.142306,0,0,0,0,8776,0,0,0
2000,230300,10.940749,0,1,1,56,1,0.40985978,0.92009616,4.4308167,73.88270277,8.5955048,7.4344916,0.08443974,83.04612,0,1,0,0,,,0,0
2001,230300,10.898947,2,2,1,49,1,0.39701051,0.91846836,4.0073333,73.87634051,8.5951347,7.4929147,0.08621756,81.124538,0,1,1,0,,0,0,1
2002,230300,11.001322,2,2,2,50,1,0.41040939,2.0043073,4.3040652,73.74767241,8.5876465,7.5212941,0.078706965,79.202956,0,1,0,0,,0,0,0
2003,230300,11.114576,2,2,3,51,1,0.41388428,3.0021954,4.2766662,74.33029501,8.6215019,7.4970889,0.15403633,77.281374,0,1,0,0,,0,0,0
2004,230300,11.160764,2,1,1,51,1,0.41448489,3.9031854,4.3040652,75.00664883,8.6606379,7.512712,0.14746462,75.359792,0,1,1,0,,0,0,0
2005,230300,11.348064,2,1,2,52,1,0.28294212,5.2111988,4.356709,74.06600888,8.6061611,7.698678,0.16088814,73.804461,0,1,0,0,,0,0,1
2006,230300,11.439409,2,1,3,53,1,0.29887217,6.3927689,4.4886365,74.48221963,8.6303082,7.6831856,0.16343981,72.371136,0,1,0,0,2940,0,0,1
2007,230300,11.474493,2,1,4,54,1,0.31475961,10.098784,4.59512,74.43304189,8.6274586,7.8748326,0.16403164,70.332663,0,1,0,0,3072,0,0,0
2008,230300,11.444033,2,1,5,55,1,0.3230643,10.36761,4.7874918,75.51242939,8.6897888,7.96135,0.1562355,68.237345,0,1,0,0,2855,0,0,1
2009,230300,11.562767,2,2,1,47,1,0.39116132,9.6302004,4.7095304,75.23368926,8.6737356,8.383791,0.14543065,66.211369,0,1,1,0,3290,0,1,1
2010,230300,11.593509,2,2,2,48,1,0.42312974,11.160419,4.7791233,75.66164066,8.69837,8.3828592,0.14349003,64.387239,0,1,0,0,3492,0,1,0
2011,230300,11.408642,3,1,1,56,1,0.41948688,11.458154,5.7868972,76.64992694,8.7549944,8.4595041,0.13945016,64.077708,0,1,1,0,3370,0,0,1
2012,230300,11.447771,3,1,2,57,1,0.40914994,11.652078,6.302619,76.93575983,8.7713032,8.6503696,0.13663505,64.013555,0,1,0,0,3819,0,1,1
2013,230300,11.705874,3,1,3,58,1,0.38532123,12.83014,6.0661082,76.26443666,8.7329512,8.6161118,0.14762363,63.51738,0,1,1,0,4345,0,1,1
2014,230300,11.83145,1,1,1,55,0,0.29747555,9.7622471,5.8021183,74.61928705,8.6382456,8.3361635,0.1540477,63.540091,0,1,1,0,4631,0,1,0
2015,230300,11.857097,2,1,1,57,0,0.26665932,3.2705414,5.5529594,73.64358395,8.581584,8.3651037,0.13593103,63.826287,0,1,1,0,5071,0,1,1
2016,230300,11.957826,2,1,2,58,0,0.249365,2.6111698,5.866468,72.73566362,8.5285206,8.3699369,0.24276936,64.769273,0,1,0,0,5698,0,1,1
2017,230300,11.862842,2,1,3,59,0,0.25877765,2.8483989,5.9480348,72.34253851,8.5054417,8.3650818,0.24450773,64.514286,0,1,0,0,6655,0,1,0
2018,230300,11.710884,2,1,4,60,0,0.24746065,3.425271,6.1717005,72.15154237,8.4942064,8.3212786,0.21450821,65.57377,0,1,1,0,7402,0,1,1
2019,230300,11.481704,2,1,2,56,1,0.22120209,3.8745472,6.1290503,72.72538371,8.5279179,8.3523407,0.21662973,65.72715,0,1,0,0,7339,0,1,0
2000,230400,11.437346,1,1,5,60,1,0.38515639,0.26448503,3.7841897,73.66080305,8.5825872,7.377974,0.15490347,57.412745,0,1,1,0,,,0,0
2001,230400,11.384089,1,1,1,60,1,0.38930544,0.26237372,3.5263605,73.78145149,8.589613,7.3749561,0.16231291,62.909831,0,1,0,0,,0,0,1
2002,230400,11.494567,1,1,2,61,1,0.40970761,0.26240897,3.8066626,73.83637854,8.5928097,7.5589275,0.15477689,68.406917,0,1,0,0,,0,1,1
2003,230400,11.608377,1,1,3,61,1,0.41247281,0.25377658,3.8286414,74.46065577,8.6290588,7.6255169,0.23703198,73.904003,0,1,0,0,,0,1,0
2004,230400,11.632185,1,1,1,57,1,0.44051814,0.59660971,3.8066626,75.62429968,8.6962233,7.6845465,0.21395877,79.401089,0,1,1,0,,0,0,0
2005,230400,11.800047,2,2,1,44,1,0.40335965,1.0190483,3.713572,74.62912288,8.6388149,7.7118993,0.22510991,80.54241,0,1,0,0,,0,1,1
2006,230400,11.876445,2,2,2,44,1,0.41845608,1.6253897,4.0604429,75.17449052,8.6703224,7.6600699,0.25031024,80.390547,0,1,0,0,3312,0,1,0
2007,230400,11.851175,2,1,1,51,1,0.42520827,1.7242212,4.3438053,75.9586922,8.7154284,7.7865696,0.24736018,80.589096,0,1,1,0,3034,0,1,1
2008,230400,11.815927,2,1,2,52,1,0.43586102,1.6600628,4.0430512,77.16048835,8.7841043,7.9364662,0.23815261,80.643687,0,1,0,0,2735,0,1,0
2009,230400,11.957651,2,1,3,53,1,0.46383497,1.8142399,4.2626801,76.47692443,8.7451086,8.2182455,0.25216573,77.42865,0,1,0,0,3047,0,1,0
2010,230400,11.951657,2,1,4,54,1,0.46615961,2.158426,4.2626801,77.62847502,8.8107023,8.4083738,0.25342998,74.449137,0,1,0,0,4148,0,1,1
2011,230400,11.731226,2,1,1,56,1,0.47734398,2.2485726,5.3659759,79.23170681,8.9012194,8.1766109,0.24321561,75.466912,0,1,1,0,4292,0,1,0
2012,230400,11.764874,2,1,2,57,1,0.46852374,2.2742522,6.2859979,79.40242436,8.9108038,8.3854971,0.25649548,76.501012,0,1,0,0,4260,0,0,0
2013,230400,12.011886,2,1,1,51,0,0.44829261,1.5543547,5.6383548,79.18066298,8.8983517,8.3413601,0.26052329,77.911111,0,1,1,0,5705,0,1,1
2014,230400,12.124588,2,1,2,52,0,0.31379855,3.2839994,5.0625949,77.40376936,8.7979412,7.7614388,0.28324145,79.279464,0,1,0,0,6103,0,1,1
2015,230400,12.018792,2,1,1,58,1,0.27840015,5.0388389,5.1817837,78.61512548,8.8665171,7.7683387,0.29546216,81.06481,0,1,1,0,4506,0,1,1
2016,230400,12.049508,2,1,2,59,1,0.27659363,1.8974453,5.2040067,79.10106588,8.893878,7.8403196,0.33546579,81.21774,0,1,1,0,6300,0,1,0
2017,230400,11.902193,2,1,1,48,1,0.28434044,3.2557204,5.3132062,79.59270725,8.9214745,7.842814,0.32800603,82.475248,0,1,0,0,7015,0,1,0
2018,230400,11.75091,2,1,2,49,1,0.30146861,5.5779653,5.4249501,79.47792215,8.9150391,7.8148603,0.32855058,81.562406,0,1,0,0,7748,0,1,0
2019,230400,11.521261,2,1,3,50,1,0.29255116,7.6604962,5.6629605,80.05994482,8.9476223,7.7005668,0.36268288,81.108414,0,1,0,0,7998,0,0,0
2000,230500,11.490003,1,2,4,53,1,0.38002416,0.74161339,3.871201,73.20436425,8.5559549,7.4572134,0.096558072,99.020814,0,1,0,0,,,0,1
2001,230500,11.441788,1,2,5,54,1,0.37813473,0.73656195,3.871201,73.36467415,8.5653181,7.6286163,0.098523378,89.295737,0,1,0,0,,0,0,1
2002,230500,11.568379,1,2,6,55,1,0.38482422,0.73729259,4.2904596,73.25667786,8.5590115,7.5078435,0.103226,79.57066,0,1,1,0,,0,1,1
2003,230500,11.687953,1,2,1,50,1,0.4099659,3.2645886,4.3694477,73.80701124,8.5911007,7.5984502,0.19715941,69.845583,0,1,0,0,,0,0,0
2004,230500,11.741538,1,2,2,51,1,0.43474284,5.7255392,4.1108737,74.43307468,8.6274605,7.8281026,0.19533041,60.120506,0,1,1,0,,0,1,1
2005,230500,11.914082,1,1,1,54,1,0.40376374,8.5176649,4.2341065,73.62661055,8.580595,8.0237064,0.21159239,60.31051,0,1,0,0,,0,1,0
2006,230500,12.016191,1,1,2,55,1,0.41423211,11.534329,4.4426513,73.8851611,8.5956478,8.2943573,0.22370403,61.962822,0,1,0,0,2561,0,1,1
2007,230500,11.996432,1,1,3,56,1,0.4277477,26.078291,4.4188404,74.96945254,8.6584902,8.3449144,0.22880839,62.15028,0,1,0,0,2963,0,1,0
2008,230500,11.936201,2,2,1,57,1,0.4295308,23.652521,4.2766662,76.5235517,8.7477741,8.3866148,0.22830243,62.404262,0,1,1,0,2929,0,1,1
2009,230500,12.040767,2,2,2,58,1,0.43476197,14.6991,4.4998097,76.58813615,8.7514648,8.7375946,0.25016385,60.671845,0,1,1,0,2792,0,1,0
2010,230500,12.03388,2,1,1,48,0,0.4478361,16.667267,4.8441873,77.61494766,8.8099346,8.8769169,0.23519981,60.905237,0,1,0,0,2470,0,1,0
2011,230500,11.822334,2,1,2,49,0,0.46342003,16.373789,6.3716121,79.30506627,8.9053392,8.8759193,0.21012427,57.307972,0,1,0,0,2453,0,1,1
2012,230500,11.875444,2,1,3,50,0,0.45631367,13.357895,6.605298,79.23304734,8.9012947,9.0559464,0.21251751,56.00053,0,1,0,0,2583,0,1,0
2013,230500,12.138753,2,1,4,51,0,0.43058077,13.179193,5.8377304,78.60785334,8.866107,9.1557961,0.21285379,54.766667,0,1,1,0,2802,0,1,1
2014,230500,12.272303,2,1,1,57,1,0.38041699,15.125849,5.9584246,76.46721766,8.7445536,8.0839472,0.2373955,53.444006,0,1,0,0,3235,0,1,0
2015,230500,12.367522,3,2,1,52,0,0.25604796,10.754688,5.3423343,74.12654321,8.6096773,7.8463345,0.23788455,52.31091,0,1,1,0,7391,0,1,0
2016,230500,12.43017,3,2,2,53,0,0.25077334,2.4714191,5.5451775,74.10161685,8.6082296,7.8896694,0.2623038,51.520548,0,1,0,0,7552,0,1,1
2017,230500,12.272676,3,2,3,54,0,0.24556661,2.3151715,5.6204009,74.5282021,8.6329718,7.9367576,0.27324864,77.56383,0,1,0,0,7564,0,1,0
2018,230500,12.055449,2,1,1,55,1,0.23291868,2.0897694,5.9053617,75.44455654,8.6858826,7.9204345,0.26419571,49.470955,0,1,1,0,7550,0,1,0
2019,230500,11.822665,2,1,2,56,1,0.22844513,1.9199749,6.2225761,75.83383403,8.7082624,7.9069858,0.27861926,48.573867,0,1,0,0,7337,0,1,1
2000,230600,9.6341772,0,1,3,54,1,0.89668089,0.36181939,5.6698809,109.3575703,10.457417,9.7344446,0.29392752,160.869707,0,0,0,0,,,0,0
2001,230600,9.6352501,0,1,4,55,1,0.88692856,0.46399766,5.8289456,108.5866535,10.420492,9.6610861,0.26423681,132.785029,0,0,0,0,,0,0,1
2002,230600,9.8776531,1,1,1,51,1,0.86221701,0.62660408,6.4967752,105.8599199,10.288825,9.5984735,0.24934639,104.700351,0,0,1,0,,0,0,0
2003,230600,10.032031,1,1,2,52,1,0.85323316,0.73113632,6.6280413,105.541412,10.273335,9.5672026,0.28860369,76.615673,0,0,0,0,,0,0,1
2004,230600,10.117939,1,1,3,53,1,0.84587967,0.8345688,6.4232469,105.1859052,10.256018,9.5707445,0.32412326,48.530995,0,0,1,0,,0,0,0
2005,230600,10.207435,2,2,1,53,0,0.85920131,1.5831937,6.5610309,105.5705287,10.274752,9.7149315,0.34830755,48.271933,0,0,0,0,,0,0,1
2006,230600,10.267618,2,2,2,54,0,0.85642856,2.1366374,6.6106958,106.1335529,10.302114,9.8625565,0.32793796,48.870637,0,0,0,0,2629,0,0,0
2007,230600,10.280766,2,2,3,55,0,0.8496508,2.7220514,6.6240654,106.1880787,10.30476,9.9887371,0.3249059,49.386356,0,0,0,0,2610,0,0,1
2008,230600,10.227736,2,1,1,47,1,0.85078031,2.5216048,6.7129564,107.5843376,10.372287,10.089042,0.31822154,49.693051,0,0,1,0,2427,0,0,0
2009,230600,10.480152,2,1,2,48,1,0.78678167,3.5509801,6.8511848,104.3141319,10.213429,10.209215,0.28903845,49.852888,0,0,0,0,2951,0,0,0
2010,230600,10.32054,2,1,3,49,1,0.82243007,3.5201383,7.077498,108.5786716,10.420109,10.419703,0.27311948,65.96307,0,0,0,0,2507,0,0,0
2011,230600,10.038746,2,1,4,50,1,0.82052028,3.6357741,7.8909569,111.4522337,10.557094,10.327842,0.2844997,51.111586,0,0,0,0,2329,0,0,1
2012,230600,10.09852,2,1,5,51,1,0.80876553,4.4125137,7.9120569,110.9019189,10.530998,10.498981,0.26160026,51.390122,0,0,0,0,2497,0,0,1
2013,230600,10.341492,2,1,6,52,1,0.7935887,4.9178367,7.5862961,110.3798182,10.50618,10.538262,0.24977598,51.094397,0,0,0,0,2730,0,0,1
2014,230600,10.444547,2,1,7,53,1,0.76836187,6.0836549,7.5251007,109.4243616,10.46061,9.9864998,0.24116202,51.911418,0,0,1,0,2982,0,0,1
2015,230600,10.985394,1,1,1,56,0,0.84092569,18.157885,7.7790484,98.28706487,9.9139833,9.5031929,0.24482167,53.268658,0,0,0,0,5146,1,1,0
2016,230600,11.16465,1,1,2,57,0,0.70339173,18.74655,7.6544433,96.01667742,9.79881,9.5103092,0.29802802,52.314095,0,0,0,0,5685,0,1,0
2017,230600,10.976457,3,2,1,54,1,0.65511924,24.416353,7.6847839,97.08615129,9.8532305,9.5325718,0.31174177,52.771324,0,0,1,0,6031,0,0,0
2018,230600,10.728627,3,2,2,55,1,0.60381073,28.525316,7.9327211,98.49563475,9.9244967,9.6266508,0.30703092,52.740045,0,0,0,0,5521,0,0,1
2019,230600,10.55122,3,2,3,56,1,0.53194445,35.361179,8.1619453,98.07325932,9.9031944,9.6671648,0.30243582,52.799706,0,0,0,0,5781,0,0,0
2000,230700,11.002016,1,2,1,50,1,0.49324846,2.6622074,4.2484951,71.55123823,8.4587965,6.9234648,0.12597559,90.541853,0,1,1,0,,,1,1
2001,230700,10.985703,1,2,2,51,1,0.48321477,3.0574133,4.0943446,71.58818933,8.4609804,6.9216633,0.13737814,89.297587,0,1,0,0,,0,1,0
2002,230700,11.100657,1,2,3,52,1,0.4874208,3.4696856,4.3040652,71.54017117,8.4581423,7.0075288,0.16352664,88.053321,0,1,0,0,,0,1,0
2003,230700,11.226241,1,2,4,53,1,0.43756816,3.8075283,4.2046928,71.99690165,8.4850988,7.0029821,0.21635844,86.809055,0,1,1,0,,0,1,0
2004,230700,11.267803,1,1,1,51,0,0.45420289,4.0312982,4.1108737,72.7891268,8.5316544,7.153749,0.22768858,85.564789,0,1,0,0,,0,1,0
2005,230700,11.425828,1,1,2,52,0,0.37781551,5.1715455,4.7361984,72.20996035,8.4976444,7.3818078,0.20263046,85.462146,0,1,0,0,,0,1,1
2006,230700,11.562943,1,1,3,53,0,0.37672672,5.5000467,4.8598123,72.55043648,8.5176544,7.5568047,0.22033873,85.248968,0,1,0,0,2489,0,1,0
2007,230700,11.533801,1,1,4,54,0,0.372017,6.4398456,4.2195077,73.47437004,8.5717192,7.7098422,0.25011757,85.533015,0,1,0,0,3421,0,1,0
2008,230700,11.534014,3,1,1,53,1,0.3670716,8.4281664,4.5538769,74.13462275,8.6101465,7.919282,0.25101313,85.736677,0,1,1,0,3204,0,1,0
2009,230700,11.80227,3,1,2,54,1,0.36837184,8.7812395,4.7535901,71.41837336,8.4509392,8.1694994,0.26873395,80.740566,0,1,0,0,3097,0,1,1
2010,230700,11.832896,3,1,3,55,1,0.39270759,9.8872337,4.7874918,71.66640029,8.465601,8.4279346,0.27028376,75.859357,0,1,0,0,3812,0,1,1
2011,230700,11.657256,2,1,1,49,0,0.36960104,9.5428286,5.8777356,72.51744454,8.5157175,8.394022,0.27551013,75.743374,0,1,1,0,4110,0,1,0
2012,230700,11.695826,2,1,2,50,0,0.33807594,8.4132919,6.2422233,72.76605221,8.530302,8.5705748,0.27609444,75.849023,0,1,0,0,4225,0,1,1
2013,230700,11.937703,2,1,3,51,0,0.32570043,4.5491209,6.251904,72.56910497,8.5187502,8.623826,0.2651161,77.067751,0,1,0,0,4335,0,1,0
2014,230700,11.957734,2,1,4,52,0,0.26550987,6.6083398,5.9584246,72.62559527,8.5220652,8.0628576,0.29527801,76.877759,0,1,0,0,3966,0,1,0
2015,230700,11.980008,3,2,1,51,1,0.19829282,2.1481867,6.1696105,71.51153815,8.4564495,7.8098073,0.35279661,77.064941,0,1,1,0,4580,0,1,0
2016,230700,12.006407,3,2,2,52,1,0.20763505,1.7478913,5.2522736,72.22025306,8.49825,7.5213232,0.32717839,78.025353,0,1,0,0,4999,0,1,1
2017,230700,11.82702,3,2,3,53,1,0.21547662,1.7125725,5.2040067,72.99015345,8.5434275,7.6222734,0.34408799,79.82567,0,1,0,0,5182,0,1,1
2018,230700,11.658312,3,2,4,54,1,0.21494852,1.9583064,5.9107966,73.16773224,8.5538139,7.7677612,0.34712014,80.035552,0,1,1,0,7374,0,1,0
2019,230700,11.422205,1,1,1,57,1,0.19844869,2.140486,5.9687076,73.84586874,8.5933619,7.7828135,0.35559669,80.737669,0,1,0,0,7511,0,1,1
2000,230800,10.965933,0,1,3,46,1,0.27123928,8.3638,4.4188404,73.31111472,8.562191,7.9387159,0.10292383,87.065213,0,1,0,0,,,0,0
2001,230800,10.944798,0,1,4,47,1,0.25127694,8.4320211,4.5747108,73.07682148,8.5484982,7.9466419,0.10677261,83.527408,0,1,0,0,,0,0,0
2002,230800,11.084352,1,1,1,58,1,0.28043947,8.3973236,4.5217886,72.93956462,8.5404663,7.7820201,0.099694341,79.989603,0,1,1,0,,0,0,0
2003,230800,11.233379,2,1,1,51,0,0.28377989,8.3553677,4.8675346,72.94748185,8.5409298,7.6945748,0.200168,76.451798,0,1,1,0,,0,1,1
2004,230800,11.284124,2,1,2,52,0,0.27719519,14.324951,4.7874918,73.64003122,8.581377,7.6262417,0.18948415,72.913993,0,1,0,0,,0,0,0
2005,230800,11.505358,2,1,3,53,0,0.19913614,23.940975,4.9052749,72.1167458,8.4921579,7.7164178,0.19964601,69.899431,0,1,0,0,,0,1,0
2006,230800,11.596656,2,1,4,54,0,0.20212755,30.144026,4.89784,72.16865241,8.4952135,7.9862471,0.21493094,66.815549,0,1,0,0,1615,0,1,1
2007,230800,11.576047,2,1,5,55,0,0.20837514,36.850143,5.5134287,72.97236028,8.5423861,8.1275845,0.22023737,63.985882,0,1,1,0,1542,0,1,1
2008,230800,11.599825,2,1,1,55,1,0.20805521,37.433025,5.556828,73.2453804,8.5583515,8.2217855,0.21268716,59.802689,0,1,1,0,1639,0,1,0
2009,230800,11.769013,2,1,2,56,1,0.21365494,32.061241,5.5606818,72.41547744,8.5097284,8.5063601,0.21134426,56.697208,0,1,0,0,1466,0,1,1
2010,230800,11.825674,2,1,3,57,1,0.26129058,39.442093,5.9162021,72.31945488,8.5040846,8.7916298,0.22520141,53.574958,0,1,0,0,1609,0,1,1
2011,230800,11.657958,2,2,1,49,1,0.2658045,36.794395,6.526495,73.57568838,8.5776272,8.7410946,0.21137543,53.031002,0,1,1,0,1808,0,1,0
2012,230800,11.786334,2,2,2,50,1,0.25805977,23.407032,6.779922,72.53768441,8.5169058,8.8319016,0.20079783,54.568199,0,1,0,0,2184,0,1,1
2013,230800,12.012899,2,2,3,51,1,0.26506731,18.532843,6.2989492,72.91571817,8.5390701,8.9572277,0.21917984,53.379339,0,1,0,0,2573,0,1,0
2014,230800,12.062961,2,2,4,52,1,0.26475891,20.321764,6.3421216,72.2670248,8.5010014,8.9212446,0.19989216,54.510898,0,1,1,0,2517,0,1,1
2015,230800,12.29248,2,1,1,53,0,0.28785694,10.564858,6.7821922,67.92339035,8.2415648,8.9582214,0.19614406,54.077569,0,1,1,0,3279,0,1,0
2016,230800,12.357773,2,1,2,54,0,0.28344524,7.2302194,6.5957804,67.53590696,8.2180233,8.9979248,0.2028192,54.499433,0,1,1,0,4569,0,1,1
2017,230800,12.150332,2,1,1,52,0,0.27327916,6.189815,7.0317411,68.67025374,8.2867517,9.016964,0.21574874,53.361702,0,1,1,0,5636,0,1,1
